hokkaido	5285430	83423.83
aomori	1262686	9645.65
iwate	1240522	15275.01
miyagi	2313215	7282.23
akita	980694	11637.52
yamagata	1089806	9323.15
fukusima	1865143	13783.9
ibaraki	2882943	6097.33
tochigi	1952926	6408.09
gumma	1949440	6362.28
saitama	7322645	3797.75
chiba	6268585	5157.61
tokyo	13843403	2193.96
kanagawa	9179835	2416.16
niigata	2245057	12584.23
toyama	1050246	4247.61
ishikawa	1142965	4186.05
fukui	773731	4190.52
yamanashi	818391	4465.27
nagano	2063403	13561.56
gifu	1999406	10621.29
shizuoka	3656487	7777.35
aichi	7539185	5172.96
mie	1790376	5774.42
shiga	1412881	4017.38
kyoto	2591779	4612.2
osaka	8824566	1905.29
hyogo	5483450	8400.95
nara	1340070	3690.94
wakayama	934051	4724.65
tottori	560517	3507.14
shimane	679626	6708.27
okayama	1899739	7114.33
hiroshima	2819962	8479.61
yamaguchi	1368495	6112.53
tokushima	736475	4146.75
kagawa	961900	1876.78
ehime	1351510	5676.24
kochi	705880	7103.63
fukuoka	5111494	4986.51
saga	819110	2440.7
nagasaki	1339438	4130.9
kumamoto	1756442	7409.5
oita	1142943	6340.73
miyazaki	1079873	7735.32
kagoshima	1612800	9187.02
okinawa	1448101	2281.05
